offensive,text
1,"['bun', 'placut', 'sotiei', 'decat', 'pula', 'lu', 'vecinu']"
0,"['pui', 'imagini', 'genul', 'avertizezi', 'facem', 'inima', 'vrei', 'vreau', 'bag', 'treburile']"
1,"['jeg', 'ore', 'picat', 'netscape', 'actualizata', 'rezolutia', 'maxima', 'rasul']"
0,"['patit', 'acum', 'cateva', 'zile', 'trezisem', 'somn', 'vedeam', 'mainile', 'simtit', 'telefonul', 'langa', 'incepuse', 'bazaie', 'mar', 'suna', 'telefonul', 'raspuns', 'singur', 'incepuse', 'vorbeasca', 'intro', 'limba', 'intelegeam', 'auzisem', 'niciodata', 'fundal', 'asemenea', 'auzea', 'muzica', 'dramatica', 'incercat', 'misc', 'inchid', 'telefonul', 'efectiv', 'vedeam', 'mainile', 'puteam', 'misca', 'incercat', 'strig', 'ajutor', 'cuvintele', 'impotmoleau', 'gura', 'putea', 'reproduce', 'timp', 'omul', 'vocea', 'inspaimantatoare', 'zici', 'ameninta', 'limba', 'drq', 'vb', 'oarecum', 'realizasem', 'paralizie', 'somn', 'auzizem', 'fenomen', 'mam', 'linistit', 'mam', 'trezit', 'puteam', 'misc', 'vrut', 'vad', 'telefonul', 'langa', 'cealalta', 'parte', 'camerei', 'incarcat', 'paralizia', 'somn', 'experienta', 'extrem', 'sinistra', 'sper', 'trece', 'niciodata']"
1,"['zis', 'sesizat', 'protectia', 'copilului', 'copii', 'dormea', 'cocina', 'porcilor', 'sute', 'copii', 'traiesc', 'familii', 'dezbinate', 'batuti', 'neingrijiti', 'merg', 'acolo', 'sesizeaza', 'caz', 'mediatizat', 'dea', 'bine', 'ochii', 'lumii', 'cata', 'iporcrizie', 'incompetenta']"
1,"['cumparat', 'saltea', 'baza', 'reviewuri', 'stele', 'oameni', 'buni', 'dormit', 'saltea', 'laudati', 'canapea', 'salteaua', 'tare', 'zone', 'confort', 'gasit', 'macar']"
0,"['esti', 'genial']"
1,['cacat']
0,"['vaccin', 'adevarat', 'caterinca']"
1,"['luat', 'teapa', 'mam', 'grabit', 'aiurea', 'induc', 'eroare', 'numele', 'panou', 'radiant', 'vroiam', 'iau', 'panou', 'radiant', 'infrarosu', 'asteas', 'panarame', 'convectoare', 'slab', 'rau', 'w', 'cred', 'baga', 'baga', 'plita', 'lu', 'bunicamea', 'facutan', 'anii', 'pana', 'urma', 'nus', 'panouri', 'radiante', 'balarii', 'radiatoare', 'convectoare', 'luati', 'reviewurile', 'nebunilor', 'astia', 'mare', 'greseala', 'epava', 'convectorcaloriferradiator', 'nume', 'panou', 'radiant', 'genu', 'salahor', 'lucrator', 'comercial', 'secolul', 'inducere', 'eroare', 'numele']"
0,"['we', 'ur', 'video', 'uwu']"
0,"['basescu', 'trebuia', 'numeasca', 'zilele', 'respectiv', 'decembrie', 'zile', 'doliu', 'national', 'eternitateiar', 'uciderea', 'fiinte', 'umane', 'indiferent', 'dictator', 'ziua', 'nasterii', 'domnului', 'poporul', 'roman', 'plati', 'totdeauna', 'neam', 'intors', 'organizare', 'mentalitate', 'sociala', 'epoca', 'medievala', 'jos']"
1,"['prietene', 'esti', 'bolnav', 'psihic', 'aceleasi', 'comentarii', 'cartofi', 'prajiti', 'prajituri', 'telefoane', 'vazut', 'doctor', 'sincer']"
0,"['buna', 'rapida', 'felicitari']"
1,"['ignat', 'bogdan', 'esti', 'prajit', 'cap', 'legatura', 'amblee', 'ssduri', 'cumparate', 'firma', 'murit', 'hddul', 'gb', 'ssd', 'firma', 'mentionata', 'citeste', 'dai', 'gura', 'pros']"
1,"['lam', 'cumparat', 'arat', 'sarac', 'restul', 'timp', 'miam', 'vandut', 'vai', 'limba', 'romana']"
1,"['prost', 'ceasul', 'ieftin', 'decat', 'apare', 'site', 'pretul', 'initial', 'fapt', 'pretul', 'redus', 'adevarat']"
1,"['puneti', 'ulei', 'palma', 'futui', 'mama', 'lu', 'mumasa', 'pisici', 'cheita', 'bata', 'palme', 'faca', 'sezi', 'pisica', 'miroasa', 'linga', 'pui', 'ulei', 'farfurioara', 'ok']"
0,"['respect', 'maxim', 'pt', 'niculescu', 'dreptate']"
1,"['pt', 'scaun', 'stele', 'bine', 'construit', 'finisat', 'culiseaza', 'pielea', 'perforata', 'spatar', 'etc', 'pt', 'emag', 'stele', 'livrarea', 'trebuie', 'ajunga', 'ianuarie', 'sosele', 'blocate', 'ajuns', 'stele', 'deoarece', 'cumparat', 'folie', 'sticla', 'defect', 'lasat', 'review', 'primit', 'cost', 'suplimentar', 'macar', 'curierul', 'mare', 'minus', 'emag', 'reclama', 'produsele', 'altora', 'exemplu', 'quicmobile', 'jeguri', 'emag', 'mare']"
0,"['ani', 'documentar', 'practic', 'povestea', 'vietii', 'familiei', 'astept', 'documentar', 'asemanator', 'ani', 'pozitiv', 'sper']"
0,"['acolo', 'radiatii']"
0,"['ticalosul', 'petre', 'roman']"
1,"['fitnessul', 'black', 'fridei', 'futuva', 'gura', 'muisti']"
1,"['aparatul', 'asteptrile', 'suma', 'pltit', 'specifica', 'redus', 'cere', 'atia', 'bani', 'bun', 'gunoi', 'chinezrie', 'ieftin', 'personal', 'dezamgit', 'recomand', 'nimnui']"
1,['rau']
1,"['alex', 'thee', 'hddndnskksndbskndndkasknxnxnxnxndnxdjndjd']"
0,"['cucina', 'made', 'italia', 'super']"
0,['bravo']
1,"['cumparat', 'becuri', 'xenon', 'dup', 'vzut', 'nite', 'clipuri', 'youtube', 'aveam', 'asteptari', 'aprind', 'becurile', 'lumina', 'albastru', 'dup', 'minut', 'glbuie', 'cred', 'ajunge', 'lumina', 'becurilor', 'k', 'scrie', 'cutie', 'asteptam', 'faca', 'lumina', 'asfalt', 'deoarece', 'spun', 'luminozitate', 'eap', 'fa', 'becurile', 'vechi', 'aveam', 'main', 'diferenta', 'merita', 'pretul', 'recomand', 'ndreptati', 'osram', 'cool', 'blue', 'intense', 'xenarc']"
1,"['mori', 'esti', 'multumit', 'inseamna', 'esti', 'varza', 'vezi', 'viteza', 'copiere', 'scade']"
1,"['doamne', 'credeti', 's', 'vaccinat', 'iohanis', 'convingeti', 'sunteti', 'penibili']"
0,"['invatat', 'editez', 'vlogger', 'oot', 'fac', 'skillul']"
1,"['bagamias', 'pula', 'rasa', 'mati', 'miam', 'comandat', 'produs', 'mia', 'trimis', 'fix', 'muie']"
0,"['rad', 'somn']"
1,"['tare', 'gura', 'baba', 'gasit', 'moartea', 'acolo', 'mor', 'ciuda']"
1,"['esti', 'frustrat', 'luat', 'ps', 'acum', 'ps', 'pro', 'macar', 'consola', 'dai', 'stea', 'motiv']"
1,"['proaste', 'produse', 'livrearea', 'costa', 'produsul', 'companie', 'rahat']"
0,"['singurul', 'credeam', 'cernobyl', 'numele', 'om', 'stiinta']"
0,['bravo']
